Username,recipeLabel,webLink,calories,fat_quantity,protein_quantity,yield,time
admin,Dinner Tonight: Star Anise and Ginger Chicken,http://www.seriouseats.com/recipes/2011/10/dinner-tonight-star-anise-and-ginger-chicken-recipe.html,596,38,45,4,45
admin,Quick prawn noodle soup,https://www.bbcgoodfood.com/recipes/quick-prawn-noodle-soup,528,7,20,1,15
admin,Pickled Red Chiles,http://www.cookstr.com/recipes/pickled-red-chiles,57,0,1,2,1440
admin,Hainanese Chicken Rice,https://food52.com/recipes/77899-hainanese-chicken-rice,759,37,40,6,75
admin,The Nasty Bits: Pig's Ears Two Ways Recipe,http://www.seriouseats.com/recipes/2009/08/red-braised-pigs-ears-pigs-ears-on-a-hot-griddle-recipe.html,225,11,18,6,0
admin,Soy-Braised Pork Country Ribs with Carrots and Turnips,https://www.epicurious.com/recipes/food/views/soy-braised-pork-country-ribs-with-carrots-and-turnips-361251,570,39,35,6,0
admin,Cinnamon-Spiced Mexican Horchata,http://www.thedailymeal.com/recipes/cinnamon-spiced-mexican-horchata-recipe,285,9,3,16,0
admin,Dinner Tonight: Uncle Lang's Three Teacup Chicken Recipe,http://www.seriouseats.com/recipes/2011/02/uncle-langs-three-teacup-chicken-recipe.html,834,56,58,4,30
admin,Red Roasted Asian Beef Stew,https://food52.com/recipes/3025-red-roasted-asian-beef-stew,746,34,76,6,0
admin,The Nasty Bits: No Mean Feet Recipe,http://www.seriouseats.com/recipes/2009/08/cantonese-chicken-feet-jalapenos-black-bean-sauce-dim-sum-recipe.html,466,49,3,28,0
admin,Bombay Potatoes (Vegetarian),https://www.justapinch.com/recipes/side/potatoes/bombay-potatoes-vegetarian.html,340,8,8,4,50
admin,Shrimp & Corn Orzotto Stuffed Poblanos,https://tastykitchen.com/recipes/main-courses/shrimp-corn-orzotto-stuffed-poblanos/,537,30,33,4,0
admin,Dinner Tonight: Lemon Linguine Recipe,http://www.seriouseats.com/recipes/2008/01/dinner-tonight-lemon-linguine.html,281,14,7,12,0
admin,Roasted Peppers with Nectarines,https://www.epicurious.com/recipes/food/views/roasted-peppers-with-nectarines-395485,201,10,4,8,0
admin,Alaskan Halibut with a Tagliatelle of Vegetables & Lemon-Herb Vinaigrette,http://www.pbs.org/food/recipes/alaskan-halibut-with-a-tagliatelle-of-vegetables-lemon-herb-vinaigrette/,302,13,33,4,197
admin,Red pepper houmous,http://www.bbcgoodfood.com/recipes/2242/red-pepper-houmous,432,19,15,2,0
admin,Lobster Wraps with Lemon Mayonnaise,http://www.myrecipes.com/recipe/lobster-wraps-with-lemon-mayonnaise,340,12,26,4,0
admin,One-Pot Pasta with Broccoli and Lemon,https://www.marthastewart.com/1532112/one-pot-pasta-broccoli-and-lemon,259,8,8,10,25
admin,Lemon Risotto with Mint and Ricotta,http://honestcooking.com/lemon-risotto-with-mint-and-ricotta/,430,15,13,6,40
admin,Slow-Cooker Lemon-Pepper Chicken Thighs with Broccolini,http://www.eatingwell.com/recipe/277105/slow-cooker-lemon-pepper-chicken-thighs-with-broccolini/,365,7,41,4,220
admin,Artichoke Dip (Which You Could Make into Tapenade by Adding Capers),https://food52.com/recipes/4400-artichoke-dip-which-you-could-make-into-tapenade-by-adding-capers,728,70,19,1,0
admin,Feta and Lemon Dip,http://www.cookstr.com/recipes/feta-and-lemon-dip,313,30,7,4,15
mMarshall,Smoked Muscovado Sugar Vanilla Ice Cream Recipe,http://www.seriouseats.com/recipes/2014/07/smoked-muscavado-sugar-vanilla-ice-cream-recipe.html,194,18,1,28,300
mMarshall,Brown Butter Blondies,https://food52.com/recipes/32350-brown-butter-blondies,500,27,5,9,0
mMarshall,"Exceptional Tiramisu (Raw Egg-Free, Alcohol-Free)",https://cleobuttera.com/desserts/exceptional-tiramisu-raw-egg-free-alcohol-free,263,18,3,12,0
user,4-Ingredient Peanut Butter-Strawberry Ice Cream Pie,https://www.foodnetwork.com/recipes/food-network-kitchen/4-ingredient-peanut-butter-strawberry-ice-cream-pie-3364663,228,15,6,8,155
user,PB&J Cookies,http://www.delish.com/cooking/recipe-ideas/recipes/a45635/pbj-cookies-recipe-peanut-butter-jelly-cookies/,342,18,2,12,37
user,Crunchy Almond Butter Meringue with Berries and Cream,https://food52.com/recipes/37905-crunchy-almond-butter-meringue-with-berries-and-cream,226,15,4,10,0
user,coconut pinkcherry yogurt,https://smittenkitchen.com/2007/05/pinkcherry/,231,11,8,8,0
user,PB & J Poke Cake,https://www.delish.com/cooking/recipe-ideas/a28930532/pb-and-j-poke-cake-recipe/,767,36,14,12,120
user,funnel cake,https://smittenkitchen.com/2016/06/funnel-cake/,340,24,4,14,0
user,potato scallion and kale cakes,https://smittenkitchen.com/2015/04/potato-scallion-and-kale-cakes/,152,10,3,6,0
user,Peanut Butter Banana Pancakes,https://www.allrecipes.com/recipe/231394/peanut-butter-banana-pancakes/,145,6,4,12,25
user,Peanut Butter and Jelly Cupcakes recipes,http://www.ladybehindthecurtain.com/peanut-butter-jelly-cupcakes/,520,21,3,22,45
user,Peanut Butter & Jelly Ice Cream Sandwiches recipes,http://www.laughterandlemonade.com/peanut-butter-jelly-ice-cream-sandwiches/,490,33,12,6,210
CIS480,Lentil and Roasted Garlic Soup with Seared Steak,https://www.epicurious.com/recipes/food/views/lentil-and-roasted-garlic-soup-with-seared-steak-234126,732,41,40,6,0
CIS480,Spotty Blueberry & Clotted Cream Cake,http://www.bbcgoodfood.com/recipes/2000/,268,16,3,16,0
CIS480,Jeni Britton Bauer's Blueberry Cobbler,http://www.seriouseats.com/recipes/2014/05/jeni-britton-bauers-blueberry-cobbler.html,629,35,6,9,45
CIS480,Rock'n Pollo Blueberry Burritos,http://www.pbs.org/food/recipes/rockn-pollo-blueberry-burritos/,1217,60,68,4,250
CIS480,Blueberry Butterfly Cakes,http://www.bbcgoodfood.com/recipes/5869/,240,14,4,10,0
CIS480,4-Ingredient Blueberry Pie,https://www.foodnetwork.com/recipes/food-network-kitchen/4-ingredient-blueberry-pie-3364545,401,14,2,8,275
CIS480,Turkey With Blueberry Pan Sauce,http://www.eatingwell.com/recipes/turkey_with_blueberry_pan_sauce.html,297,11,26,4,0
CIS480,Moby's Vegan Blueberry Pancakes,https://www.epicurious.com/recipes/food/views/mobys-vegan-blueberry-pancakes-241771,446,7,15,4,0
CIS480,Peach & Blueberry Tart,https://food52.com/recipes/81139-peach-blueberry-tart,514,30,6,6,60
CIS480,Blueberry-Lemon Scones Recipe,https://www.seriouseats.com/recipes/2017/03/lemon-blueberry-scones-vegan-recipe.html,339,18,5,6,45
CIS480,Raspberry & Blueberry Lime Drizzle Cake,http://www.bbcgoodfood.com/recipes/1338/,286,13,3,16,0
